"","gene","CvDep","CvDep_diff","CvPTSD","CvPTSD_diff","CvPTSDDep","CvPTSDDep_diff","CTEvDep","CTEvDep_diff","CTEvPTSD","CTEvPTSD_diff","CTEvPTSDDep","CTEvPTSDDep_diff"
"220","BCL2L1","Under",0.2148,"Over",0.3366,"Under",0.1046,"Under",0.1413,"Over",0.41,"Under",0.0311
"221","POLR1D","Under",0.081,"Over",0.4158,"Over",0.2455,"Under",0.0984,"Over",0.3984,"Over",0.2281
"222","TAPBP","Under",0.123,"Under",0.216,"Over",0.1835,"Under",0.1082,"Under",0.2011,"Over",0.1983
"223","TUBA1A","Under",0.2267,"Under",0.1699,"Under",0.1876,"Under",0.2605,"Under",0.2037,"Under",0.2215
"224","ETFRF1","Over",0.1374,"Over",0.1941,"Under",0.1698,"Over",0.0484,"Over",0.1051,"Under",0.2588
"225","ZNRF4","Over",0.0386,"Over",0.1379,"Over",0.1384,"Over",0.0352,"Over",0.1345,"Over",0.135
"226","BECN1","Under",0.2461,"Over",0.1086,"Under",0.1091,"Under",0.1395,"Over",0.2153,"Under",0.0025
"227","RPS25","Over",0.1043,"Over",0.1839,"Over",0.0663,"Over",4e-04,"Over",0.08,"Under",0.0376
"228","FAM219A","Over",0.1298,"Under",0.0145,"Under",0.233,"Over",0.0827,"Under",0.0616,"Under",0.2801
"229","WTAP","Under",0.2317,"Over",0.0904,"Under",0.1123,"Under",0.0979,"Over",0.2242,"Over",0.0214
"230","ATG10","Over",0.0925,"Under",0.218,"Over",0.1312,"Over",0.0717,"Under",0.2388,"Over",0.1104
"231","REXO2","Over",0.0187,"Over",0.2968,"Over",0.148,"Over",0.0114,"Over",0.2895,"Over",0.1407
"232","NECAP2","Over",0.263,"Over",0.5019,"Over",0.261,"Over",0.2374,"Over",0.4763,"Over",0.2354
"233","PSAP","Under",0.2425,"Under",0.3475,"Under",0.2633,"Under",0.1525,"Under",0.2575,"Under",0.1734
"234","RNF213","Over",0.1349,"Over",0.3705,"Over",0.2002,"Over",0.1471,"Over",0.3828,"Over",0.2124
"235","ZNHIT3","Over",0.05,"Over",0.08,"Under",0.1323,"Under",0.0858,"Under",0.0558,"Under",0.2681
"236","S100A11","Under",0.1927,"Under",0.1707,"Under",0.2795,"Under",0.3224,"Under",0.3004,"Under",0.4092
"237","GADD45GIP1","Over",0.0721,"Over",0.2234,"Over",0.1152,"Over",0.0423,"Over",0.1937,"Over",0.0855
"238","DHPS","Over",0.1454,"Over",0.2945,"Over",0.1063,"Over",0.1211,"Over",0.2702,"Over",0.082
"239","NAMPT","Under",0.4658,"Under",0.1779,"Under",0.4055,"Under",0.6307,"Under",0.3428,"Under",0.5704
"240","RPS18","Over",0.142,"Over",0.1627,"Over",0.0901,"Over",0.0251,"Over",0.0458,"Under",0.0268
"241","SLC35C2","Over",0.0715,"Over",0.1656,"Over",0.1235,"Over",0.0781,"Over",0.1721,"Over",0.13
"242","EIF2AK4","Over",0.0476,"Under",0.3968,"Over",0.1022,"Over",0.0443,"Under",0.4002,"Over",0.0988
"243","RPL23","Over",0.2084,"Over",0.1669,"Over",0.03,"Over",0.0623,"Over",0.0207,"Under",0.1162
"244","PGK1","Under",0.2384,"Under",0.3262,"Under",0.1604,"Under",0.154,"Under",0.2419,"Under",0.0761
"245","MFSD11","Over",0.0595,"Under",0.2723,"Over",0.1458,"Over",0.0126,"Under",0.3191,"Over",0.099
"246","CLIC1","Under",0.1573,"Over",0.0249,"Under",0.0701,"Under",0.1611,"Over",0.0212,"Under",0.0738
"247","EPHA8","Over",0.1162,"Under",0.13,"Under",0.1477,"Over",0.057,"Under",0.1893,"Under",0.2069
"248","PABPC4","Under",0.0643,"Over",0.1077,"Under",0.1089,"Under",0.2015,"Under",0.0296,"Under",0.2462
"249","UBE2H","Under",0.2355,"Over",0.1294,"Over",0.1009,"Under",0.1431,"Over",0.2219,"Over",0.1934
"250","TNFSF13B","Under",0.2983,"Under",0.0973,"Under",0.005,"Under",0.2255,"Under",0.0244,"Over",0.0678
"251","VNN2","Under",0.3467,"Under",0.0539,"Under",0.4862,"Under",0.5283,"Under",0.2355,"Under",0.6677
"252","DHFR","Over",0.062,"Under",0.3546,"Over",0.1258,"Under",0.0392,"Under",0.4558,"Over",0.0245
"253","SRGN","Under",0.1666,"Under",0.0684,"Under",0.1663,"Under",0.307,"Under",0.2089,"Under",0.3068
"254","SRSF9","Under",0.0904,"Over",0.0296,"Under",0.1942,"Under",0.1772,"Under",0.0572,"Under",0.2811
"255","PDE4C","Under",0.0191,"Under",0.4738,"Over",0.0443,"Under",0.0313,"Under",0.4861,"Over",0.032
"256","ALG13","Under",0.0336,"Over",0.24,"Over",0.0829,"Over",0.0195,"Over",0.2932,"Over",0.1361
"257","CHD9","Over",0.2555,"Over",0.1184,"Over",0.2931,"Over",0.2025,"Over",0.0655,"Over",0.2401
"258","APPL1","Over",0.047,"Over",0.146,"Over",0.3304,"Over",0.1298,"Over",0.2289,"Over",0.4133
"259","SMU1","Over",0.146,"Under",0.0462,"Under",0.0943,"Over",0.0459,"Under",0.1462,"Under",0.1943
"260","SACM1L","Over",0.1891,"Under",0.1246,"Over",0.2972,"Over",0.1191,"Under",0.1946,"Over",0.2271
"261","RPL38","Over",0.0563,"Over",0.1669,"Over",0.0121,"Under",0.0041,"Over",0.1065,"Under",0.0482
"262","HLA-E","Under",0.2237,"Under",0.1426,"Over",0.0256,"Under",0.2504,"Under",0.1692,"Under",0.001
"263","ADGRG3","Under",0.1563,"Under",0.1645,"Under",0.2026,"Over",0.0385,"Over",0.0303,"Under",0.0078
"264","PDCD10","Over",0.0336,"Over",0.2614,"Over",0.2082,"Over",0.0931,"Over",0.3209,"Over",0.2677
"265","MOSPD2","Under",0.075,"Under",0.2731,"Under",0.1155,"Under",0.0979,"Under",0.296,"Under",0.1385
"266","SUPT4H1","Under",0.169,"Over",0.1418,"Over",0.0548,"Under",0.0481,"Over",0.2627,"Over",0.1756
"267","WBP11","Over",0.0159,"Under",0.1944,"Under",0.2912,"Under",0.0426,"Under",0.253,"Under",0.3497
"268","STOM","Under",0.1773,"Under",0.1409,"Under",0.0047,"Over",0.0883,"Over",0.1248,"Over",0.261
"269","PSMB8","Under",0.2164,"Over",0.0493,"Under",0.1018,"Under",0.2667,"Under",0.0011,"Under",0.1522
"270","POLR1D","Over",0.1283,"Over",0.4358,"Over",0.1938,"Over",0.0743,"Over",0.3818,"Over",0.1399
"271","BIRC2","Under",0.2959,"Over",0.0296,"Under",0.0338,"Under",0.045,"Over",0.2805,"Over",0.2172
"272","MAN2B2","Under",0.0553,"Under",0.2137,"Over",0.232,"Under",0.1343,"Under",0.2927,"Over",0.1531
"273","RPL9","Over",0.1939,"Over",0.1335,"Over",0.0615,"Over",0.145,"Over",0.0846,"Over",0.0126
"274","CNBP","Under",0.1379,"Over",0.2484,"Under",0.1154,"Under",0.3021,"Over",0.0842,"Under",0.2796
"275","H3-5","Under",0.2664,"Under",0.0912,"Under",0.1642,"Under",0.2882,"Under",0.113,"Under",0.186
"276","ANAPC10","Under",0.0193,"Over",0.0866,"Under",0.0513,"Under",0.1391,"Under",0.0331,"Under",0.1711
"277","SLC44A2","Under",0.1115,"Under",0.2409,"Under",0.1537,"Under",0.0988,"Under",0.2282,"Under",0.141
"278","SSTR2","Over",0.0679,"Under",0.4749,"Over",0.0993,"Under",0.0527,"Under",0.5954,"Under",0.0213
"279","FGD3","Over",0.0547,"Under",0.2651,"Over",0.1219,"Over",0.0719,"Under",0.248,"Over",0.1391
"280","SRSF8","Under",0.09,"Over",0.2632,"Over",0.0921,"Over",0.0101,"Over",0.3634,"Over",0.1922
"281","ATP5PF","Over",0.091,"Over",0.2481,"Over",0.0101,"Under",0.0186,"Over",0.1385,"Under",0.0994
"282","ATP6V0C","Under",0.0253,"Over",0.3248,"Over",0.1112,"Over",0.0372,"Over",0.3873,"Over",0.1737
"283","HIGD2A","Over",0.0631,"Over",0.1846,"Under",0.1576,"Under",0.0075,"Over",0.114,"Under",0.2281
"284","RPL34","Over",0.0972,"Over",0.2893,"Over",0.1202,"Over",0.1455,"Over",0.3375,"Over",0.1684
"285","RPL35","Over",0.2436,"Over",0.2404,"Over",0.1479,"Over",0.1029,"Over",0.0997,"Over",0.0072
"286","EIF4H","Under",0.1442,"Under",0.0832,"Under",0.0844,"Under",0.216,"Under",0.1549,"Under",0.1562
"287","TBCEL","Under",0.1859,"Over",0.3537,"Over",0.1229,"Under",0.1459,"Over",0.3936,"Over",0.1629
"288","GIMAP7","Over",0.0355,"Over",0.1901,"Over",0.1046,"Under",0.2125,"Under",0.0579,"Under",0.1434
"289","ADAR","Over",0.0194,"Under",0.1359,"Over",0.2738,"Over",0.0128,"Under",0.1426,"Over",0.2671
"290","ACTB","Under",0.4103,"Under",0.0788,"Under",0.1736,"Under",0.3171,"Over",0.0145,"Under",0.0803
"291","COMMD6","Over",0.2177,"Over",0.2239,"Over",0.0847,"Over",0.1044,"Over",0.1107,"Under",0.0285
"292","HLA-B","Under",0.1992,"Under",0.1599,"Under",0.09,"Under",0.2395,"Under",0.2001,"Under",0.1303
"293","IL18","Under",0.0175,"Under",0.4683,"Over",0.1153,"Over",0.0214,"Under",0.4294,"Over",0.1541
"294","FAN1","Over",0.1424,"Over",0.1216,"Over",0.0988,"Over",0.2317,"Over",0.2109,"Over",0.1881
"295","ZNF467","Under",0.0794,"Under",0.3123,"Under",0.3015,"Under",0.1268,"Under",0.3596,"Under",0.3489
"296","PGK1","Under",0.2669,"Under",0.1117,"Under",0.2198,"Under",0.2326,"Under",0.0774,"Under",0.1855
"297","CHP1","Under",0.311,"Under",0.0875,"Under",0.2652,"Under",0.197,"Over",0.0266,"Under",0.1512
"298","MROH8","Over",0.1635,"Over",0.4383,"Over",0.312,"Over",0.1663,"Over",0.4411,"Over",0.3149
"299","LYN","Under",0.2854,"Under",0.1904,"Under",0.0551,"Under",0.2777,"Under",0.1827,"Under",0.0474
"300","IGSF11","Over",0.1503,"Under",0.1215,"Under",0.118,"Over",0.1239,"Under",0.1479,"Under",0.1444
"301","OSBP2","Under",0.2431,"Under",0.0119,"Over",0.3446,"Under",0.1436,"Over",0.0876,"Over",0.4442
"302","TLCD4","Under",0.0405,"Over",0.3167,"Over",0.0978,"Over",0.179,"Over",0.5362,"Over",0.3173
"303","VIM","Under",0.3097,"Under",0.1744,"Under",0.2812,"Under",0.3011,"Under",0.1658,"Under",0.2727
"304","CCDC15","Over",0.1966,"Over",0.5152,"Over",0.1498,"Over",0.1863,"Over",0.505,"Over",0.1395
"305","RBBP4","Under",0.1245,"Under",0.109,"Under",0.0566,"Under",0.2269,"Under",0.2114,"Under",0.159
"306","LIPJ","Over",0.0706,"Over",0.1262,"Over",0.0224,"Over",0.0989,"Over",0.1545,"Over",0.0507
"307","LILRB3","Under",0.2484,"Under",0.2227,"Under",0.2021,"Under",0.1722,"Under",0.1466,"Under",0.1259
"308","MICAL2","Under",0.262,"Over",0.0145,"Under",0.0777,"Under",0.148,"Over",0.1285,"Over",0.0364
"309","LMOD3","Over",0.1998,"Under",0.2166,"Over",0.2917,"Under",0.0157,"Under",0.4321,"Over",0.0762
"310","TMEM258","Over",0.1804,"Over",0.1425,"Over",0.0106,"Over",0.0527,"Over",0.0148,"Under",0.1171
"311","RPL35","Over",0.1868,"Over",0.1984,"Over",0.0166,"Over",0.1476,"Over",0.1592,"Under",0.0225
"312","HSPA1A","Under",0.2867,"Under",0.3394,"Under",0.281,"Under",0.2189,"Under",0.2717,"Under",0.2132
"313","TMEM145","Over",0.1141,"Under",0.1454,"Under",0.2662,"Over",0.0811,"Under",0.1784,"Under",0.2992
"314","CFLAR","Under",0.033,"Under",0.459,"Over",0.1825,"Under",0.0683,"Under",0.4943,"Over",0.1472
"315","SLC30A7","Over",0.2117,"Under",0.083,"Over",0.2909,"Over",0.1794,"Under",0.1153,"Over",0.2586
"316","CIDECP1","Under",0.032,"Over",0.3509,"Over",0.1898,"Over",0.0409,"Over",0.4238,"Over",0.2628
"317","CRISPLD2","Over",0.0158,"Under",0.3341,"Under",0.1533,"Under",0.1032,"Under",0.4531,"Under",0.2723
"318","VPS28","Over",0.1474,"Over",0.3368,"Over",0.1584,"Over",0.1849,"Over",0.3743,"Over",0.1959
"319","ATP5PO","Over",0.0533,"Over",0.1782,"Under",0.0134,"Under",0.11,"Over",0.0149,"Under",0.1767
"320","ZNF787","Under",0.1145,"Under",0.0214,"Under",0.3153,"Under",0.1202,"Under",0.0271,"Under",0.3211
"321","ITGA7","Over",0.06,"Under",0.129,"Under",0.3053,"Under",0.0027,"Under",0.1917,"Under",0.3679
"322","EDRF1","Over",0.1215,"Over",0.0617,"Over",0.193,"Over",0.2115,"Over",0.1517,"Over",0.283
"323","HCK","Under",0.255,"Under",0.3449,"Under",0.2164,"Under",0.1961,"Under",0.286,"Under",0.1576
"324","ARPC2","Under",0.1295,"Under",0.1069,"Under",0.1434,"Under",0.1688,"Under",0.1462,"Under",0.1828
"325","STX7","Under",0.0772,"Over",0.2223,"Over",0.0648,"Over",0.0739,"Over",0.3735,"Over",0.216
"326","JAK1","Under",0.1979,"Under",0.1216,"Under",0.1547,"Under",0.1105,"Under",0.0341,"Under",0.0672
"327","TFDP2","Under",0.2163,"Over",0.1102,"Over",0.0611,"Over",0.0127,"Over",0.3391,"Over",0.29
"328","MXI1","Under",0.2598,"Over",0.1164,"Over",0.04,"Under",0.1549,"Over",0.2214,"Over",0.145
"329","PGD","Under",0.2964,"Under",0.2502,"Under",0.3057,"Under",0.1336,"Under",0.0875,"Under",0.143
"330","KDM2B","Over",0.2001,"Over",0.0139,"Over",0.1277,"Over",0.2095,"Over",0.0233,"Over",0.1372
"331","ATP5PD","Under",0.0664,"Over",0.0353,"Under",0.1853,"Under",0.1502,"Under",0.0485,"Under",0.2691
"332","PTGER4","Over",0.2578,"Over",0.1225,"Over",0.2151,"Over",0.2348,"Over",0.0995,"Over",0.1921
"333","MMP9","Under",0.5033,"Under",0.5505,"Under",0.4756,"Under",0.1936,"Under",0.2408,"Under",0.166
"334","MAP1S","Over",0.3731,"Over",0.4756,"Over",0.2597,"Over",0.2901,"Over",0.3925,"Over",0.1767
"335","NCF2","Under",0.0994,"Under",0.2943,"Under",0.0396,"Under",0.0573,"Under",0.2523,"Over",0.0025
"336","PPP3R1","Under",0.2388,"Over",0.1435,"Over",0.2164,"Under",0.0186,"Over",0.3637,"Over",0.4365
"337","CAP1","Under",0.2449,"Under",0.292,"Under",0.1473,"Under",0.2336,"Under",0.2808,"Under",0.1361
"338","MCM8","Over",0.0372,"Under",0.4114,"Over",0.1379,"Under",0.0057,"Under",0.4544,"Over",0.095
"339","USP4","Over",0.0566,"Under",0.2013,"Under",0.1901,"Under",0.0105,"Under",0.2684,"Under",0.2572
"340","LSP1","Over",0.1295,"Under",0.1185,"Under",0.275,"Over",0.1219,"Under",0.1261,"Under",0.2826
"341","CAPZB","Under",0.1657,"Under",0.1871,"Under",0.1449,"Under",0.1519,"Under",0.1733,"Under",0.1312
"342","SNRPB","Under",0.0375,"Under",0.0664,"Under",0.1894,"Under",0.2033,"Under",0.2321,"Under",0.3551
"343","SAMD9L","Under",0.046,"Under",0.0881,"Over",0.4264,"Under",0.1046,"Under",0.1468,"Over",0.3678
"344","RILP","Over",0.2382,"Over",0.4009,"Over",0.1562,"Over",0.3192,"Over",0.4818,"Over",0.2371
"345","CXCR4","Under",0.1322,"Over",0.0138,"Under",0.3641,"Under",0.364,"Under",0.218,"Under",0.5959
"346","VPS36","Over",0.2774,"Over",0.1064,"Over",0.2049,"Over",0.2083,"Over",0.0373,"Over",0.1358
"347","MCL1","Over",0.0086,"Under",0.2406,"Over",0.0516,"Over",0.0035,"Under",0.2457,"Over",0.0465
"348","LPCAT3","Over",0.0504,"Under",0.1794,"Under",0.3086,"Over",0.0445,"Under",0.1853,"Under",0.3145
"349","DLGAP1","Over",0.1021,"Under",0.1139,"Under",0.2371,"Under",0.0337,"Under",0.2497,"Under",0.3729
"350","PPA1","Under",0.0145,"Over",0.2236,"Over",0.0125,"Under",0.2071,"Over",0.031,"Under",0.1801
"351","CHD8","Under",0.0121,"Over",0.1423,"Over",0.1636,"Over",0.2177,"Over",0.3721,"Over",0.3934
"352","LDHA","Under",0.2833,"Under",0.1137,"Under",0.2854,"Under",0.2185,"Under",0.0489,"Under",0.2206
"353","IFI30","Under",0.2882,"Under",0.152,"Under",0.1531,"Under",0.2931,"Under",0.1569,"Under",0.158
"354","MBNL1","Over",0.1837,"Over",0.1708,"Over",0.2525,"Over",0.288,"Over",0.2751,"Over",0.3569
"355","PADI4","Under",0.3324,"Under",0.3747,"Under",0.377,"Under",0.1079,"Under",0.1501,"Under",0.1524
"356","HINT1","Over",0.1915,"Over",0.1958,"Over",0.0906,"Over",0.1125,"Over",0.1169,"Over",0.0116
"357","KCNJ10","Over",0.0599,"Over",0.1994,"Over",0.0473,"Over",0.1698,"Over",0.3092,"Over",0.1572
"358","RHBDD2","Under",0.1367,"Under",0.1125,"Under",0.1943,"Under",0.2062,"Under",0.182,"Under",0.2639
"359","SSBP1","Over",0.0433,"Over",0.1324,"Under",0.0414,"Under",0.0864,"Over",0.0027,"Under",0.1711
"360","TDRD1","Over",0.1425,"Under",0.1557,"Over",0.0875,"Over",0.0222,"Under",0.276,"Under",0.0328
"361","DYSF","Under",0.2506,"Under",0.3654,"Under",0.1506,"Under",0.1188,"Under",0.2336,"Under",0.0188
"362","ARHGEF12","Over",0.1099,"Over",0.0365,"Over",0.2492,"Over",0.3673,"Over",0.2939,"Over",0.5066
"363","NIBAN1","Under",0.1763,"Under",0.3433,"Over",0.1913,"Under",0.194,"Under",0.361,"Over",0.1736
"364","MTDH","Over",0.149,"Under",0.0054,"Over",0.2418,"Over",0.2299,"Over",0.0755,"Over",0.3227
"365","BMP2K","Over",0.1077,"Over",0.1392,"Over",0.2639,"Over",0.37,"Over",0.4016,"Over",0.5262
"366","COPA","Under",0.1163,"Under",0.1998,"Over",0.003,"Over",0.0206,"Under",0.0629,"Over",0.1399
"367","MED25","Over",0.1449,"Over",0.3157,"Over",0.1273,"Over",0.0102,"Over",0.181,"Under",0.0074
"368","NDUFS4","Over",0.1131,"Over",0.1908,"Over",0.0613,"Under",0.0555,"Over",0.0222,"Under",0.1073
"369","PRPSAP2","Under",0.1807,"Over",0.1347,"Under",0.056,"Under",0.0148,"Over",0.3007,"Over",0.11
"370","OR4D6","Over",0.0719,"Over",0.1755,"Over",0.1198,"Over",0.0635,"Over",0.1671,"Over",0.1113
"371","ATF6B","Over",0.0689,"Over",0.1901,"Over",0.1502,"Over",0.1348,"Over",0.2559,"Over",0.216
"372","POTEKP","Under",0.3628,"Under",0.1071,"Under",0.1485,"Under",0.2277,"Over",0.028,"Under",0.0134
"373","SERINC3","Under",0.1542,"Over",0.1046,"Over",0.0484,"Under",0.09,"Over",0.1688,"Over",0.1126
"374","EIF5","Under",0.0649,"Over",0.3682,"Over",0.1953,"Under",0.1251,"Over",0.3081,"Over",0.1351
"375","MTRNR2L1","Over",0.396,"Over",0.4415,"Over",0.2034,"Over",0.4102,"Over",0.4557,"Over",0.2177
"376","PDK3","Over",0.1676,"Under",0.1922,"Over",0.1629,"Over",0.1448,"Under",0.215,"Over",0.1401
"377","TNRC6C","Over",0.1438,"Over",0.2513,"Over",0.0774,"Over",0.2311,"Over",0.3387,"Over",0.1647
"378","DLEU1","Over",0.0022,"Over",0.3758,"Over",0.1804,"Under",0.0924,"Over",0.2812,"Over",0.0858
"379","DPCD","Over",0.0881,"Over",0.2997,"Over",0.2628,"Over",0.1861,"Over",0.3978,"Over",0.3608
"380","NUBPL","Over",0.0322,"Under",0.5015,"Over",0.0866,"Under",0.0999,"Under",0.6336,"Under",0.0455
"381","METTL21A","Over",0.0923,"Under",0.247,"Over",0.1948,"Under",0.0666,"Under",0.4059,"Over",0.0359
"382","TUBA3FP","Over",0.0754,"Under",0.3409,"Over",0.217,"Under",0.1024,"Under",0.5186,"Over",0.0392
"383","PNPT1","Under",0.0819,"Under",0.5506,"Over",0.0469,"Under",0.1118,"Under",0.5806,"Over",0.0169
"384","EID2B","Over",0.1232,"Under",0.2563,"Over",0.1249,"Under",0.0138,"Under",0.3934,"Under",0.0121
"385","RHBDL2","Over",0.0967,"Under",0.2539,"Over",0.1608,"Under",0.0482,"Under",0.3988,"Over",0.0159
"386","DTWD2","Over",0.0944,"Under",0.2422,"Over",0.2101,"Under",2e-04,"Under",0.3368,"Over",0.1155
"387","XPNPEP3","Over",0.0376,"Under",0.1508,"Over",0.1358,"Under",0.0964,"Under",0.2848,"Over",0.0018
"388","MRFAP1","Under",0.1667,"Over",0.1837,"Under",0.0399,"Under",0.1142,"Over",0.2362,"Over",0.0126
"389","MBD4","Over",0.1604,"Under",0.2646,"Over",0.2375,"Over",0.004,"Under",0.421,"Over",0.0811
"390","ROCK2","Over",0.018,"Under",0.3497,"Over",0.089,"Under",0.0061,"Under",0.3738,"Over",0.0649
"391","SLC35E1","Over",0.03,"Under",0.3672,"Over",0.1139,"Under",0.0856,"Under",0.4827,"Under",0.0017
"392","LCOR","Over",0.0709,"Under",0.27,"Over",0.1492,"Over",0.0332,"Under",0.3077,"Over",0.1116
"393","PPM1K","Over",0.0537,"Under",0.2292,"Over",0.0718,"Under",0.0357,"Under",0.3186,"Under",0.0176
"394","HNRNPUL2","Over",0.0478,"Under",0.2325,"Over",0.056,"Over",0.0074,"Under",0.2729,"Over",0.0156
"395","MRPL14","Over",0.1216,"Over",0.4138,"Over",0.1629,"Over",0.1572,"Over",0.4495,"Over",0.1985
"396","NLRP8","Over",0.144,"Under",0.4643,"Over",0.1742,"Under",0.0225,"Under",0.6308,"Over",0.0076
"397","MSH3","Over",0.0819,"Under",0.3462,"Over",0.1815,"Under",0.0872,"Under",0.5153,"Over",0.0124
"398","INIP","Over",0.0405,"Under",0.4338,"Over",0.1361,"Under",0.0884,"Under",0.5627,"Over",0.0072
"399","KLRB1","Over",0.4271,"Over",0.4749,"Under",0.0105,"Over",0.149,"Over",0.1969,"Under",0.2885
"400","ST13","Under",0.2315,"Over",0.0811,"Under",0.1086,"Under",0.1339,"Over",0.1787,"Under",0.011
"401","TOM1","Under",0.1947,"Under",0.2517,"Under",0.2306,"Under",0.1094,"Under",0.1664,"Under",0.1453
"402","KIR3DL3","Over",0.0322,"Over",0.226,"Over",0.1291,"Over",0.0446,"Over",0.2384,"Over",0.1416
"403","SYAP1","Over",0.0527,"Under",0.323,"Over",0.1237,"Over",0.0277,"Under",0.3481,"Over",0.0987
"404","C8orf37","Under",0.0389,"Under",0.6136,"Under",0.1007,"Under",0.1397,"Under",0.7144,"Under",0.2015
"405","FPR1","Under",0.2319,"Under",0.2343,"Under",0.1557,"Under",0.1751,"Under",0.1775,"Under",0.0989
"406","SNAPC1","Over",0.0133,"Under",0.4092,"Over",0.094,"Over",0.0108,"Under",0.4117,"Over",0.0916
"407","ZNF669","Over",0.071,"Under",0.2292,"Over",0.0903,"Under",0.0648,"Under",0.365,"Under",0.0455
"408","IMPA2","Under",0.2597,"Under",0.2298,"Under",0.3869,"Under",0.146,"Under",0.1161,"Under",0.2732
"409","DAPP1","Over",0.0071,"Under",0.4384,"Over",0.0604,"Over",0.0396,"Under",0.4059,"Over",0.0929
"410","CASTOR1","Over",0.1606,"Over",0.5124,"Over",0.3024,"Over",0.1832,"Over",0.535,"Over",0.3251
"411","ATP6V1F","Over",0.0753,"Over",0.1601,"Over",0.0348,"Over",0.1234,"Over",0.2081,"Over",0.0828
"412","NSA2","Over",0.1713,"Over",0.2534,"Over",0.1223,"Under",0.0014,"Over",0.0808,"Under",0.0504
"413","BLOC1S6","Over",0.1394,"Under",0.1093,"Over",0.2577,"Over",0.0788,"Under",0.1699,"Over",0.1971
"414","TNFSF15","Over",0.0336,"Under",0.2338,"Over",0.0578,"Under",0.0813,"Under",0.3487,"Under",0.0571
"415","BLZF1","Over",0.135,"Under",0.2571,"Over",0.2282,"Under",0.0175,"Under",0.4097,"Over",0.0756
"416","BLZF1","Over",0.1436,"Under",0.3884,"Over",0.199,"Under",0.0045,"Under",0.5365,"Over",0.0509
"417","GPR1","Over",0.0933,"Under",0.3476,"Over",0.1035,"Under",0.0372,"Under",0.4781,"Under",0.027
"418","UFC1","Under",0.0503,"Over",0.1962,"Under",0.0155,"Under",0.0443,"Over",0.2023,"Under",0.0094
"419","CHRNA5","Over",0.0845,"Under",0.2803,"Over",0.0585,"Under",0.0852,"Under",0.45,"Under",0.1111
"420","MCMDC2","Over",0.0735,"Under",0.2798,"Over",0.0591,"Under",0.0641,"Under",0.4175,"Under",0.0786
"421","ZNF394","Over",0.1354,"Under",0.2094,"Over",0.1876,"Under",0.0304,"Under",0.3752,"Over",0.0218
"422","EXO5","Over",0.1848,"Under",0.2571,"Over",0.2421,"Under",0.0083,"Under",0.4502,"Over",0.0491
"423","PRXL2A","Under",0.0051,"Under",0.5088,"Over",0.0811,"Over",5e-04,"Under",0.5032,"Over",0.0867
"424","ADAM17","Over",0.0871,"Under",0.1958,"Over",0.0282,"Over",0.0203,"Under",0.2626,"Under",0.0386
"425","ETS1","Over",0.3649,"Over",0.0514,"Over",0.3116,"Over",0.2985,"Under",0.015,"Over",0.2452
"426","CCBE1","Over",0.001,"Under",0.4414,"Over",0.1118,"Under",0.0986,"Under",0.541,"Over",0.0123
"427","CISD1","Over",0.0242,"Over",0.2127,"Under",0.0301,"Under",0.1868,"Over",0.0017,"Under",0.2412
"428","ERAP2","Over",0.0625,"Under",0.2874,"Over",0.0985,"Under",0.0503,"Under",0.4003,"Under",0.0143
"429","MIGA1","Over",0.0837,"Under",0.2704,"Over",0.2225,"Under",0.0615,"Under",0.4155,"Over",0.0773
"430","RPL23AP32","Over",0.1226,"Over",0.3041,"Over",0.1212,"Over",0.0482,"Over",0.2296,"Over",0.0467
"431","YBX1","Under",0.0633,"Over",0.3081,"Over",0.0265,"Over",0.0433,"Over",0.4147,"Over",0.1331
"432","LMNB1","Under",0.264,"Under",0.2555,"Under",0.255,"Under",0.1669,"Under",0.1585,"Under",0.158
"433","CDKN2AIPNL","Over",0.0979,"Under",0.4501,"Over",0.1857,"Under",0.0673,"Under",0.6153,"Over",0.0205
"434","DPY30","Over",0.0314,"Over",0.2013,"Under",0.1354,"Under",0.1142,"Over",0.0557,"Under",0.281
"435","ITPK1-AS1","Over",0.0996,"Under",0.2979,"Over",0.1939,"Under",0.0443,"Under",0.4417,"Over",0.0501
"436","TMEM126B","Over",0.1195,"Over",0.072,"Over",0.2113,"Over",0.1011,"Over",0.0535,"Over",0.1928
"437","PDCD7","Over",0.0682,"Under",0.3826,"Over",0.0991,"Under",0.0632,"Under",0.5139,"Under",0.0323
"438","TUBA1A","Under",0.138,"Under",0.2293,"Under",0.2586,"Under",0.2766,"Under",0.3679,"Under",0.3972
"439","EMC7","Under",0.1544,"Under",0.0333,"Under",0.1373,"Under",0.2145,"Under",0.0933,"Under",0.1973
"440","FKBP14","Over",0.197,"Under",0.291,"Over",0.3098,"Under",0.0276,"Under",0.5156,"Over",0.0852
"441","TMEM267","Over",0.1423,"Under",0.4358,"Over",0.0952,"Over",0.0039,"Under",0.5743,"Under",0.0433
"442","SSTR2","Over",0.1125,"Under",0.1905,"Over",0.1548,"Over",0.03,"Under",0.273,"Over",0.0723
"443","LRBA","Over",0.194,"Over",0.1456,"Over",0.2838,"Over",0.0863,"Over",0.0379,"Over",0.1761
"444","SEMA3E","Over",0.2282,"Under",0.2104,"Over",0.1264,"Over",0.0333,"Under",0.4052,"Under",0.0685
"445","RPL10A","Over",0.1528,"Over",0.1552,"Over",0.0382,"Over",0.1133,"Over",0.1157,"Under",0.0013
